mode,query,query_type,difficulty,latency,ndcg@5,ndcg@10,mrr,recall@5,recall@10,precision@5,precision@10,f1@5,f1@10,result_doc_types
Hybrid_CrossEncoder_L6,energy saving mode,keyword,easy,1.8733134269714355,0.21398626473452756,0.31608365985743925,0.5,0.2,0.4,0.2,0.2,0.20000000000000004,0.26666666666666666,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Hybrid_CrossEncoder_L6,how to scan multiple pages,semantic,medium,1.5201992988586426,0.14606834984270645,0.14606834984270645,0.25,0.2,0.2,0.2,0.1,0.20000000000000004,0.13333333333333333,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Hybrid_CrossEncoder_L6,change paper size,keyword,easy,1.5059151649475098,0.4703652827859579,0.4703652827859579,1.0,0.4,0.4,0.4,0.2,0.4000000000000001,0.26666666666666666,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Hybrid_CrossEncoder_L6,set up scan to network folder,semantic,hard,1.6830554008483887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Hybrid_CrossEncoder_L6,firmware upgrade instructions,semantic,medium,2.0719001293182373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Hybrid_CrossEncoder_L6,default settings,keyword,easy,1.529127597808838,0.3391602052736161,0.3391602052736161,1.0,0.2,0.2,0.2,0.1,0.20000000000000004,0.13333333333333333,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Hybrid_CrossEncoder_L6,how to use automatic document feeder,semantic,medium,1.8491339683532715,0.6992148198508501,0.6992148198508501,1.0,0.6,0.6,0.6,0.3,0.6,0.4,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Hybrid_CrossEncoder_L6,adjust print density,semantic,medium,2.1077897548675537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Hybrid_CrossEncoder_L6,cancel print job,keyword,easy,1.749302625656128,0.0,0.09803928583135704,0.1,0.0,0.2,0.0,0.1,0.0,0.13333333333333333,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Hybrid_CrossEncoder_L6,network troubleshooting guide,semantic,hard,1.9572312831878662,0.16958010263680806,0.16958010263680806,0.3333333333333333,0.2,0.2,0.2,0.1,0.20000000000000004,0.13333333333333333,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
